2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:10:11 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:10:29 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:10:29 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:11:17 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:11:17 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:11:51 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:11:51 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:12:42 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:12:42 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:13:33 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:13:33 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:13:49 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:13:49 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:14:26 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:14:26 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:15:20 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:15:20 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:16:26 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:16:26 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:17:57 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:17:57 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:18:42 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:18:42 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:18:42 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:18:42 DEBUG Config - Config.get(instrumenting, swaps) = true
